,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date
0,DNB,-,-,-,-,-,1,,v Australia,Mohali,14 Mar 2013
1,DNB,-,-,-,-,-,3,,v Australia,Mohali,14 Mar 2013
2,DNB,-,-,-,-,-,1,,v West Indies,Kolkata,6 Nov 2013
3,DNB,-,-,-,-,-,3,,v West Indies,Kolkata,6 Nov 2013
4,DNB,-,-,-,-,-,1,,v West Indies,Mumbai,14 Nov 2013
5,DNB,-,-,-,-,-,3,,v West Indies,Mumbai,14 Nov 2013
6,DNB,-,-,-,-,-,2,,v South Africa,Johannesburg,18 Dec 2013
7,DNB,-,-,-,-,-,4,,v South Africa,Johannesburg,18 Dec 2013
8,DNB,-,-,-,-,-,2,,v South Africa,Durban,26 Dec 2013
9,DNB,-,-,-,-,-,4,,v South Africa,Durban,26 Dec 2013
10,DNB,-,-,-,-,-,1,,v New Zealand,Auckland,6 Feb 2014
11,DNB,-,-,-,-,-,3,,v New Zealand,Auckland,6 Feb 2014
12,DNB,-,-,-,-,-,1,,v New Zealand,Wellington,14 Feb 2014
13,1.0,0,3,0,3.00,8,3,,v New Zealand,Wellington,14 Feb 2014
14,DNB,-,-,-,-,-,2,,v England,Nottingham,9 Jul 2014
15,DNB,-,-,-,-,-,2,,v England,Lord's,17 Jul 2014
16,2.0,0,2,0,1.00,6,4,,v England,Lord's,17 Jul 2014
17,2.0,0,4,0,2.00,6,1,,v England,Southampton,27 Jul 2014
18,DNB,-,-,-,-,-,3,,v England,Southampton,27 Jul 2014
19,DNB,-,-,-,-,-,1,,v Australia,Adelaide,9 Dec 2014
20,DNB,-,-,-,-,-,3,,v Australia,Adelaide,9 Dec 2014
21,DNB,-,-,-,-,-,2,,v Australia,Brisbane,17 Dec 2014
22,DNB,-,-,-,-,-,4,,v Australia,Brisbane,17 Dec 2014
23,DNB,-,-,-,-,-,1,,v Australia,Melbourne,26 Dec 2014
24,DNB,-,-,-,-,-,3,,v Australia,Melbourne,26 Dec 2014
25,DNB,-,-,-,-,-,2,,v Bangladesh,Fatullah,10 Jun 2015
26,1.0,1,0,0,0.00,5,3,,v Bangladesh,Fatullah,10 Jun 2015
27,DNB,-,-,-,-,-,1,,v Sri Lanka,Galle,12 Aug 2015
28,DNB,-,-,-,-,-,3,,v Sri Lanka,Galle,12 Aug 2015
29,DNB,-,-,-,-,-,2,,v South Africa,Mohali,5 Nov 2015
30,DNB,-,-,-,-,-,4,,v South Africa,Mohali,5 Nov 2015
31,DNB,-,-,-,-,-,1,,v South Africa,Bengaluru,14 Nov 2015
32,DNB,-,-,-,-,-,2,,v South Africa,Nagpur,25 Nov 2015
33,DNB,-,-,-,-,-,4,,v South Africa,Nagpur,25 Nov 2015
34,DNB,-,-,-,-,-,2,,v South Africa,Delhi,3 Dec 2015
35,3.0,1,9,0,3.00,5,4,,v South Africa,Delhi,3 Dec 2015
36,DNB,-,-,-,-,-,2,,v West Indies,North Sound,21 Jul 2016
37,DNB,-,-,-,-,-,3,,v West Indies,North Sound,21 Jul 2016
38,DNB,-,-,-,-,-,1,,v West Indies,Kingston,30 Jul 2016
39,DNB,-,-,-,-,-,3,,v West Indies,Kingston,30 Jul 2016
40,DNB,-,-,-,-,-,2,,v West Indies,Gros Islet,9 Aug 2016
41,DNB,-,-,-,-,-,4,,v West Indies,Gros Islet,9 Aug 2016
42,DNB,-,-,-,-,-,2,,v New Zealand,Kolkata,30 Sep 2016
43,DNB,-,-,-,-,-,4,,v New Zealand,Kolkata,30 Sep 2016
44,DNB,-,-,-,-,-,2,,v Sri Lanka,Galle,26 Jul 2017
45,DNB,-,-,-,-,-,4,,v Sri Lanka,Galle,26 Jul 2017
46,DNB,-,-,-,-,-,2,,v Sri Lanka,Colombo (SSC),3 Aug 2017
47,DNB,-,-,-,-,-,3,,v Sri Lanka,Colombo (SSC),3 Aug 2017
48,DNB,-,-,-,-,-,2,,v Sri Lanka,Pallekele,12 Aug 2017
49,DNB,-,-,-,-,-,3,,v Sri Lanka,Pallekele,12 Aug 2017
50,DNB,-,-,-,-,-,2,,v Sri Lanka,Kolkata,16 Nov 2017
51,DNB,-,-,-,-,-,4,,v Sri Lanka,Kolkata,16 Nov 2017
52,DNB,-,-,-,-,-,2,,v Sri Lanka,Delhi,2 Dec 2017
53,DNB,-,-,-,-,-,4,,v Sri Lanka,Delhi,2 Dec 2017
54,DNB,-,-,-,-,-,1,,v South Africa,Cape Town,5 Jan 2018
55,DNB,-,-,-,-,-,3,,v South Africa,Cape Town,5 Jan 2018
56,DNB,-,-,-,-,-,2,,v Afghanistan,Bengaluru,14 Jun 2018
57,DNB,-,-,-,-,-,3,,v Afghanistan,Bengaluru,14 Jun 2018
58,DNB,-,-,-,-,-,1,,v England,Birmingham,1 Aug 2018
59,DNB,-,-,-,-,-,3,,v England,Birmingham,1 Aug 2018
60,DNB,-,-,-,-,-,2,,v England,Nottingham,18 Aug 2018
61,DNB,-,-,-,-,-,4,,v England,Nottingham,18 Aug 2018
62,DNB,-,-,-,-,-,1,,v England,Southampton,30 Aug 2018
63,DNB,-,-,-,-,-,3,,v England,Southampton,30 Aug 2018
64,DNB,-,-,-,-,-,1,,v England,The Oval,7 Sep 2018
65,DNB,-,-,-,-,-,3,,v England,The Oval,7 Sep 2018
