,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date
77,8.0,1,54,1,6.75,2,2,,v ICC World XI,Sydney,14 Oct 2005
78,10.0,2,42,1,4.20,2,4,,v ICC World XI,Sydney,14 Oct 2005
79,15.0,4,59,1,3.93,2,2,,v West Indies,Brisbane,3 Nov 2005
80,14.0,4,30,5,2.14,2,4,,v West Indies,Brisbane,3 Nov 2005
81,13.3,6,32,3,2.37,2,1,,v West Indies,Hobart,17 Nov 2005
82,27.0,4,99,2,3.66,2,3,,v West Indies,Hobart,17 Nov 2005
83,28.0,3,111,3,3.96,2,1,,v West Indies,Adelaide,25 Nov 2005
84,17.0,5,46,4,2.70,2,3,,v West Indies,Adelaide,25 Nov 2005
85,22.2,1,93,5,4.16,2,2,,v South Africa,Perth,16 Dec 2005
86,31.0,9,83,1,2.67,2,4,,v South Africa,Perth,16 Dec 2005
87,28.0,5,92,3,3.28,2,2,,v South Africa,Melbourne,26 Dec 2005
88,11.0,4,23,0,2.09,2,4,,v South Africa,Melbourne,26 Dec 2005
89,30.4,7,82,3,2.67,2,1,,v South Africa,Sydney,2 Jan 2006
90,10.0,3,48,1,4.80,2,3,,v South Africa,Sydney,2 Jan 2006
91,14.5,2,37,3,2.49,1,1,,v South Africa,Cape Town,16 Mar 2006
92,17.0,5,47,2,2.76,1,3,,v South Africa,Cape Town,16 Mar 2006
93,19.4,5,69,5,3.50,1,2,,v South Africa,Durban,24 Mar 2006
94,22.0,6,65,1,2.95,1,4,,v South Africa,Durban,24 Mar 2006
95,24.0,8,57,3,2.37,1,1,,v South Africa,Johannesburg,31 Mar 2006
96,18.3,3,57,3,3.08,1,3,,v South Africa,Johannesburg,31 Mar 2006
97,19.0,5,68,0,3.57,1,1,,v Bangladesh,Fatullah,9 Apr 2006
98,8.0,0,47,1,5.87,1,3,,v Bangladesh,Fatullah,9 Apr 2006
99,9.0,2,36,0,4.00,1,1,,v Bangladesh,Chattogram,16 Apr 2006
100,11.0,3,35,1,3.18,1,3,,v Bangladesh,Chattogram,16 Apr 2006
101,15.0,3,51,1,3.40,1,2,,v England,Brisbane,23 Nov 2006
102,22.0,1,98,1,4.45,1,4,,v England,Brisbane,23 Nov 2006
103,34.0,1,139,1,4.08,1,1,,v England,Adelaide,1 Dec 2006
104,18.0,3,35,2,1.94,1,3,,v England,Adelaide,1 Dec 2006
105,18.0,1,69,2,3.83,1,2,,v England,Perth,14 Dec 2006
106,22.0,3,75,1,3.40,1,4,,v England,Perth,14 Dec 2006
107,13.0,4,36,2,2.76,1,1,,v England,Melbourne,26 Dec 2006
108,18.5,6,47,4,2.49,1,3,,v England,Melbourne,26 Dec 2006
109,22.0,5,75,3,3.40,2,1,,v England,Sydney,2 Jan 2007
110,14.0,5,39,3,2.78,1,3,,v England,Sydney,2 Jan 2007
111,17.5,9,26,4,1.45,1,2,,v Sri Lanka,Brisbane,8 Nov 2007
112,27.0,7,86,4,3.18,1,3,,v Sri Lanka,Brisbane,8 Nov 2007
113,23.2,4,82,4,3.51,1,2,,v Sri Lanka,Hobart,16 Nov 2007
114,26.3,3,87,4,3.28,1,4,,v Sri Lanka,Hobart,16 Nov 2007
115,19.5,6,46,4,2.31,1,2,,v India,Melbourne,26 Dec 2007
116,14.0,3,43,2,3.07,1,4,,v India,Melbourne,26 Dec 2007
117,32.2,5,119,5,3.68,1,2,,v India,Sydney,2 Jan 2008
118,13.0,3,34,2,2.61,1,4,,v India,Sydney,2 Jan 2008
119,24.0,5,71,3,2.95,1,1,,v India,Perth,16 Jan 2008
120,20.4,4,54,3,2.61,1,3,,v India,Perth,16 Jan 2008
121,36.0,4,101,3,2.80,1,1,,v India,Adelaide,24 Jan 2008
122,27.0,3,74,2,2.74,1,3,,v India,Adelaide,24 Jan 2008
123,28.0,7,63,3,2.25,1,2,,v West Indies,Kingston,22 May 2008
124,22.0,6,81,2,3.68,1,4,,v West Indies,Kingston,22 May 2008
125,21.0,7,59,5,2.80,1,2,,v West Indies,North Sound,30 May 2008
126,21.0,5,51,3,2.42,1,4,,v West Indies,North Sound,30 May 2008
127,15.0,2,64,3,4.26,1,2,,v West Indies,Bridgetown,12 Jun 2008
128,25.4,3,109,2,4.24,1,4,,v West Indies,Bridgetown,12 Jun 2008
129,26.0,6,64,1,2.46,1,2,,v India,Bengaluru,9 Oct 2008
130,11.0,3,26,1,2.36,1,4,,v India,Bengaluru,9 Oct 2008
131,24.0,5,86,1,3.58,1,1,,v India,Mohali,17 Oct 2008
132,14.0,0,61,1,4.35,1,3,,v India,Mohali,17 Oct 2008
133,30.0,2,119,1,3.96,1,1,,v India,Delhi,29 Oct 2008
134,17.0,3,48,2,2.82,1,3,,v India,Delhi,29 Oct 2008
135,16.0,2,62,0,3.87,1,1,,v India,Nagpur,6 Nov 2008
136,10.0,3,27,1,2.70,2,3,,v India,Nagpur,6 Nov 2008
137,16.0,5,38,2,2.37,1,2,,v New Zealand,Brisbane,20 Nov 2008
138,9.0,0,53,1,5.88,1,4,,v New Zealand,Brisbane,20 Nov 2008
139,25.3,8,66,4,2.58,1,1,,v New Zealand,Adelaide,28 Nov 2008
140,25.0,5,105,5,4.20,1,3,,v New Zealand,Adelaide,28 Nov 2008
141,21.0,3,59,0,2.80,1,2,,v South Africa,Perth,17 Dec 2008
142,27.0,4,73,1,2.70,1,4,,v South Africa,Perth,17 Dec 2008
143,13.0,2,68,0,5.23,1,2,,v South Africa,Melbourne,26 Dec 2008
144,10.0,0,49,0,4.90,1,4,,v South Africa,Melbourne,26 Dec 2008
