,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
126,33,64,57,4,2,57.89,9,caught,3,v South Africa,Nagpur,6 Feb 2010
127,DNB,-,-,-,-,-,-,-,2,v South Africa,Kolkata,14 Feb 2010
128,6,20,13,1,0,46.15,9,bowled,2,v Australia,Mohali,1 Oct 2010
129,10,43,34,1,0,29.41,6,caught,4,v Australia,Mohali,1 Oct 2010
130,1,10,9,0,0,11.11,9,caught,2,v Australia,Bengaluru,9 Oct 2010
131,DNB,-,-,-,-,-,-,-,4,v Australia,Bengaluru,9 Oct 2010
132,1,11,11,0,0,9.09,9,bowled,1,v New Zealand,Ahmedabad,4 Nov 2010
133,0,2,1,0,0,0.00,9,lbw,3,v New Zealand,Ahmedabad,4 Nov 2010
134,7,37,37,1,0,18.91,9,caught,2,v New Zealand,Hyderabad (Deccan),12 Nov 2010
135,DNB,-,-,-,-,-,-,-,4,v New Zealand,Hyderabad (Deccan),12 Nov 2010
136,0,7,5,0,0,0.00,9,caught,1,v South Africa,Durban,26 Dec 2010
137,27,87,63,4,0,42.85,9,caught,3,v South Africa,Durban,26 Dec 2010
138,23,38,22,1,2,104.54,9,caught,2,v South Africa,Cape Town,2 Jan 2011
139,DNB,-,-,-,-,-,-,-,4,v South Africa,Cape Town,2 Jan 2011
140,0,17,7,0,0,0.00,10,bowled,2,v England,Lord's,21 Jul 2011
141,0*,9,1,0,0,0.00,10,not out,4,v England,Lord's,21 Jul 2011
142,4,7,6,1,0,66.66,10,bowled,2,v Australia,Melbourne,26 Dec 2011
143,13,28,22,1,1,59.09,9,caught,4,v Australia,Melbourne,26 Dec 2011
144,0,1,1,0,0,0.00,9,caught,1,v Australia,Sydney,3 Jan 2012
145,35,36,26,5,1,134.61,9,caught,3,v Australia,Sydney,3 Jan 2012
146,2,14,11,0,0,18.18,9,caught,1,v Australia,Perth,13 Jan 2012
147,0,1,1,0,0,0.00,9,caught,3,v Australia,Perth,13 Jan 2012
148,0,1,1,0,0,0.00,9,caught,2,v Australia,Adelaide,24 Jan 2012
149,15,27,18,3,0,83.33,10,caught,4,v Australia,Adelaide,24 Jan 2012
150,0,16,8,0,0,0.00,9,caught,1,v New Zealand,Hyderabad (Deccan),23 Aug 2012
