,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date
58,17.0,5,41,2,2.41,2,2,,v Australia,Adelaide,27 Nov 2015
59,16.0,3,60,5,3.75,2,4,,v Australia,Adelaide,27 Nov 2015
60,22.0,7,52,2,2.36,1,2,,v Sri Lanka,Dunedin,10 Dec 2015
61,15.0,2,58,2,3.86,1,4,,v Sri Lanka,Dunedin,10 Dec 2015
62,20.0,2,51,2,2.55,1,1,,v Sri Lanka,Hamilton,18 Dec 2015
63,7.0,1,30,0,4.28,1,3,,v Sri Lanka,Hamilton,18 Dec 2015
64,33.0,6,101,2,3.06,2,2,,v Australia,Wellington,12 Feb 2016
65,31.0,5,108,2,3.48,2,2,,v Australia,Christchurch,20 Feb 2016
66,17.0,1,60,1,3.52,1,4,,v Australia,Christchurch,20 Feb 2016
67,11.0,5,23,0,2.09,2,1,,v Zimbabwe,Bulawayo,28 Jul 2016
68,17.0,3,52,4,3.05,2,3,,v Zimbabwe,Bulawayo,28 Jul 2016
69,27.0,13,45,1,1.66,2,2,,v Zimbabwe,Bulawayo,6 Aug 2016
70,12.0,4,26,1,2.16,2,4,,v Zimbabwe,Bulawayo,6 Aug 2016
71,21.4,5,52,3,2.4,2,1,,v South Africa,Durban,19 Aug 2016
72,35.4,7,107,0,3.0,2,1,,v South Africa,Centurion,27 Aug 2016
73,14.0,3,44,2,3.14,2,3,,v South Africa,Centurion,27 Aug 2016
74,20.0,3,67,3,3.35,1,1,,v India,Kanpur,22 Sep 2016
75,9.0,0,34,0,3.77,1,3,,v India,Kanpur,22 Sep 2016
76,20.5,9,46,2,2.2,1,1,,v India,Kolkata,30 Sep 2016
77,17.5,6,38,3,2.13,1,3,,v India,Kolkata,30 Sep 2016
78,32.0,2,113,2,3.53,1,1,,v India,Indore,8 Oct 2016
79,7.0,0,35,0,5.0,1,3,,v India,Indore,8 Oct 2016
80,16.0,5,39,2,2.43,2,1,,v Pakistan,Christchurch,17 Nov 2016
81,17.0,5,37,3,2.17,1,3,,v Pakistan,Christchurch,17 Nov 2016
82,34.0,5,131,2,3.85,1,1,,v Bangladesh,Wellington,12 Jan 2017
83,13.5,3,53,3,3.83,1,3,,v Bangladesh,Wellington,12 Jan 2017
84,24.0,4,87,4,3.62,1,1,,v Bangladesh,Christchurch,20 Jan 2017
85,17.0,3,52,3,3.05,1,3,,v Bangladesh,Christchurch,20 Jan 2017
86,32.4,12,64,4,1.95,1,1,,v South Africa,Dunedin,8 Mar 2017
87,15.0,4,34,1,2.26,1,3,,v South Africa,Dunedin,8 Mar 2017
88,16.0,8,36,2,2.25,1,1,,v West Indies,Wellington,1 Dec 2017
89,23.0,5,87,2,3.78,1,3,,v West Indies,Wellington,1 Dec 2017
90,20.5,5,73,4,3.5,2,2,,v West Indies,Hamilton,9 Dec 2017
91,16.0,1,52,2,3.25,2,4,,v West Indies,Hamilton,9 Dec 2017
92,10.4,3,32,6,3.0,1,1,,v England,Auckland,22 Mar 2018
93,27.0,9,67,3,2.48,1,3,,v England,Auckland,22 Mar 2018
94,28.5,5,87,4,3.01,1,1,,v England,Christchurch,30 Mar 2018
95,28.0,5,89,2,3.17,1,3,,v England,Christchurch,30 Mar 2018
96,27.0,6,83,1,3.07,1,1,,v Sri Lanka,Wellington,15 Dec 2018
97,25.0,4,62,1,2.48,2,3,,v Sri Lanka,Wellington,15 Dec 2018
98,15.0,8,30,6,2.0,1,2,,v Sri Lanka,Christchurch,26 Dec 2018
99,28.2,11,77,3,2.71,1,4,,v Sri Lanka,Christchurch,26 Dec 2018
100,13.0,1,62,1,4.76,1,1,,v Bangladesh,Hamilton,28 Feb 2019
101,28.0,3,123,5,4.39,1,3,,v Bangladesh,Hamilton,28 Feb 2019
102,11.0,3,38,3,3.45,1,1,,v Bangladesh,Wellington,8 Mar 2019
103,16.0,5,52,4,3.25,1,3,,v Bangladesh,Wellington,8 Mar 2019
104,20.0,4,45,2,2.25,1,2,,v Sri Lanka,Galle,14 Aug 2019
105,9.1,1,34,1,3.7,1,4,,v Sri Lanka,Galle,14 Aug 2019
106,22.2,6,75,3,3.35,1,1,,v Sri Lanka,Colombo (PSS),22 Aug 2019
107,14.2,8,17,2,1.18,1,3,,v Sri Lanka,Colombo (PSS),22 Aug 2019
108,31.0,6,97,1,3.12,1,1,,v England,Mount Maunganui,21 Nov 2019
109,6.0,4,6,0,1.0,2,3,,v England,Mount Maunganui,21 Nov 2019
110,31.0,3,91,1,2.93,1,1,,v Australia,Melbourne,26 Dec 2019
111,9.0,0,30,0,3.33,1,3,,v Australia,Melbourne,26 Dec 2019
