,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date
0,13.0,4,29,3,2.23,2,2,,v Australia,Hobart,9 Dec 2011
1,12.0,1,51,1,4.25,2,4,,v Australia,Hobart,9 Dec 2011
2,9.0,3,24,2,2.66,2,2,,v Zimbabwe,Napier,26 Jan 2012
3,9.0,4,15,0,1.66,5,3,,v Zimbabwe,Napier,26 Jan 2012
4,8.0,0,58,1,7.25,3,1,,v South Africa,Dunedin,7 Mar 2012
5,26.0,4,93,1,3.57,2,3,,v South Africa,Dunedin,7 Mar 2012
6,17.0,2,58,3,3.41,1,2,,v West Indies,Kingston,2 Aug 2012
7,12.0,1,46,1,3.83,1,4,,v West Indies,Kingston,2 Aug 2012
8,27.0,4,93,3,3.44,2,1,,v India,Hyderabad (Deccan),23 Aug 2012
9,23.5,2,90,1,3.77,1,2,,v India,Bengaluru,31 Aug 2012
10,16.0,4,64,1,4.0,1,4,,v India,Bengaluru,31 Aug 2012
11,16.2,3,46,2,2.81,1,2,,v Sri Lanka,Galle,17 Nov 2012
12,4.0,1,15,0,3.75,1,4,,v Sri Lanka,Galle,17 Nov 2012
13,21.0,7,42,4,2.0,2,2,,v Sri Lanka,Colombo (PSS),25 Nov 2012
14,17.5,6,33,3,1.85,2,4,,v Sri Lanka,Colombo (PSS),25 Nov 2012
15,21.0,2,78,3,3.71,1,2,,v South Africa,Cape Town,2 Jan 2013
16,32.0,5,108,1,3.37,1,1,,v South Africa,Port Elizabeth,11 Jan 2013
17,15.0,4,32,1,2.13,2,1,,v England,Dunedin,6 Mar 2013
18,35.0,12,49,1,1.4,2,3,,v England,Dunedin,6 Mar 2013
19,30.0,4,117,2,3.9,2,1,,v England,Wellington,14 Mar 2013
20,25.0,9,68,6,2.72,1,2,,v England,Auckland,22 Mar 2013
21,29.0,13,55,1,1.89,1,4,,v England,Auckland,22 Mar 2013
22,27.0,10,48,2,1.77,1,1,,v England,Lord's,16 May 2013
23,15.0,3,56,1,3.73,1,3,,v England,Lord's,16 May 2013
24,22.0,4,57,5,2.59,1,1,,v England,Leeds,24 May 2013
25,2.0,1,2,0,1.0,1,3,,v England,Leeds,24 May 2013
26,24.0,9,50,2,2.08,1,2,,v Bangladesh,Chattogram,9 Oct 2013
27,4.0,1,9,0,2.25,1,4,,v Bangladesh,Chattogram,9 Oct 2013
28,16.0,2,55,1,3.43,1,1,,v Bangladesh,Dhaka,21 Oct 2013
29,16.0,2,62,0,3.87,1,3,,v Bangladesh,Dhaka,21 Oct 2013
30,18.0,5,40,3,2.22,1,2,,v West Indies,Dunedin,3 Dec 2013
31,35.0,11,81,2,2.31,2,3,,v West Indies,Dunedin,3 Dec 2013
32,15.0,5,40,6,2.66,1,2,,v West Indies,Wellington,11 Dec 2013
33,12.5,2,40,4,3.11,1,3,,v West Indies,Wellington,11 Dec 2013
34,26.0,2,84,1,3.23,1,1,,v West Indies,Hamilton,19 Dec 2013
35,10.0,4,23,4,2.3,1,3,,v West Indies,Hamilton,19 Dec 2013
36,17.0,2,38,3,2.23,1,2,,v India,Auckland,6 Feb 2014
37,23.3,2,86,3,3.65,1,4,,v India,Auckland,6 Feb 2014
38,26.0,7,99,3,3.8,1,2,,v India,Wellington,14 Feb 2014
39,16.0,5,47,1,2.93,1,4,,v India,Wellington,14 Feb 2014
40,19.0,3,67,1,3.52,1,2,,v West Indies,Kingston,8 Jun 2014
41,10.0,3,29,0,2.9,1,4,,v West Indies,Kingston,8 Jun 2014
42,30.0,6,75,3,2.5,1,2,,v West Indies,Port of Spain,16 Jun 2014
43,3.0,0,27,0,9.0,2,4,,v West Indies,Port of Spain,16 Jun 2014
44,23.0,5,71,2,3.08,1,2,,v West Indies,Bridgetown,26 Jun 2014
45,16.2,1,48,3,2.93,1,4,,v West Indies,Bridgetown,26 Jun 2014
46,11.0,4,25,3,2.27,1,2,,v Sri Lanka,Christchurch,26 Dec 2014
47,39.0,8,100,4,2.56,1,3,,v Sri Lanka,Christchurch,26 Dec 2014
48,24.0,3,75,2,3.12,1,2,,v Sri Lanka,Wellington,3 Jan 2015
49,21.0,2,55,2,2.61,1,4,,v Sri Lanka,Wellington,3 Jan 2015
50,29.0,6,79,4,2.72,1,1,,v England,Lord's,21 May 2015
51,34.0,8,85,5,2.5,1,3,,v England,Lord's,21 May 2015
52,30.0,7,98,2,3.26,1,2,,v England,Leeds,29 May 2015
53,23.0,4,61,2,2.65,1,4,,v England,Leeds,29 May 2015
54,29.0,3,127,1,4.37,2,1,,v Australia,Brisbane,5 Nov 2015
55,8.0,0,61,1,7.62,1,3,,v Australia,Brisbane,5 Nov 2015
56,26.0,2,123,2,4.73,2,1,,v Australia,Perth,13 Nov 2015
57,19.0,2,77,2,4.05,2,3,,v Australia,Perth,13 Nov 2015
