,Overs,Mdns,Runs,Wkts,Econ,Pos,Inns,Unnamed: 7,Opposition,Ground,Start Date
0,19.0,1,73,1,3.84,3,1,,v South Africa,Cape Town,5 Jan 2018
1,11.2,1,39,3,3.44,2,3,,v South Africa,Cape Town,5 Jan 2018
2,22.0,6,60,0,2.72,1,1,,v South Africa,Centurion,13 Jan 2018
3,20.0,3,70,3,3.5,2,3,,v South Africa,Centurion,13 Jan 2018
4,18.5,2,54,5,2.86,2,2,,v South Africa,Johannesburg,24 Jan 2018
5,21.0,3,57,2,2.71,3,4,,v South Africa,Johannesburg,24 Jan 2018
6,12.2,2,37,2,3.0,2,2,,v England,Nottingham,18 Aug 2018
7,29.0,8,85,5,2.93,1,4,,v England,Nottingham,18 Aug 2018
8,20.0,5,46,3,2.3,1,1,,v England,Southampton,30 Aug 2018
9,19.0,3,51,1,2.68,2,3,,v England,Southampton,30 Aug 2018
10,30.0,9,83,3,2.76,1,1,,v England,The Oval,7 Sep 2018
11,23.0,4,61,0,2.65,1,3,,v England,The Oval,7 Sep 2018
12,24.0,9,47,3,1.95,2,2,,v Australia,Adelaide,6 Dec 2018
13,24.0,8,68,3,2.83,2,4,,v Australia,Adelaide,6 Dec 2018
14,26.0,8,53,2,2.03,2,1,,v Australia,Perth,14 Dec 2018
15,25.2,10,39,3,1.53,2,3,,v Australia,Perth,14 Dec 2018
16,15.5,4,33,6,2.08,2,2,,v Australia,Melbourne,26 Dec 2018
17,19.0,3,53,3,2.78,2,4,,v Australia,Melbourne,26 Dec 2018
18,21.0,5,62,1,2.95,2,2,,v Australia,Sydney,3 Jan 2019
19,2.0,1,2,0,1.0,2,3,,v Australia,Sydney,3 Jan 2019
20,18.0,4,55,1,3.05,2,2,,v West Indies,North Sound,22 Aug 2019
21,8.0,4,7,5,0.87,2,4,,v West Indies,North Sound,22 Aug 2019
22,12.1,3,27,6,2.21,2,2,,v West Indies,Kingston,30 Aug 2019
23,11.0,4,31,1,2.81,2,4,,v West Indies,Kingston,30 Aug 2019
