,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,4,13,10,1,0,40.00,5,caught,1,v West Indies,Kingston,20 Jun 2011
1,15,72,54,2,0,27.77,5,caught,3,v West Indies,Kingston,20 Jun 2011
2,0,1,2,0,0,0.00,5,caught,1,v West Indies,Bridgetown,28 Jun 2011
3,27,118,107,1,1,25.23,5,caught,3,v West Indies,Bridgetown,28 Jun 2011
4,30,62,53,2,0,56.60,5,caught,2,v West Indies,Roseau,6 Jul 2011
5,DNB,-,-,-,-,-,-,-,4,v West Indies,Roseau,6 Jul 2011
6,52,154,111,5,0,46.84,6,caught,2,v West Indies,Mumbai,22 Nov 2011
7,63,136,114,3,1,55.26,6,caught,4,v West Indies,Mumbai,22 Nov 2011
8,11,28,21,1,0,52.38,7,caught,2,v Australia,Melbourne,26 Dec 2011
9,0,3,1,0,0,0.00,6,lbw,4,v Australia,Melbourne,26 Dec 2011
10,23,50,41,3,0,56.09,6,caught,1,v Australia,Sydney,3 Jan 2012
11,9,35,24,2,0,37.50,6,lbw,3,v Australia,Sydney,3 Jan 2012
12,44,107,81,6,0,54.32,6,caught,1,v Australia,Perth,13 Jan 2012
13,75,191,136,9,0,55.14,6,caught,3,v Australia,Perth,13 Jan 2012
14,116,237,213,11,1,54.46,6,lbw,2,v Australia,Adelaide,24 Jan 2012
15,22,96,62,2,0,35.48,6,run out,4,v Australia,Adelaide,24 Jan 2012
16,58,143,107,8,0,54.20,5,caught,1,v New Zealand,Hyderabad (Deccan),23 Aug 2012
17,103,284,193,14,1,53.36,5,lbw,2,v New Zealand,Bengaluru,31 Aug 2012
18,51*,130,82,9,0,62.19,5,not out,4,v New Zealand,Bengaluru,31 Aug 2012
19,19,70,67,3,0,28.35,5,bowled,1,v England,Ahmedabad,15 Nov 2012
20,14*,17,21,3,0,66.66,3,not out,4,v England,Ahmedabad,15 Nov 2012
21,19,65,55,3,0,34.54,5,caught,1,v England,Mumbai,23 Nov 2012
22,7,16,13,1,0,53.84,5,caught,3,v England,Mumbai,23 Nov 2012
23,6,31,24,1,0,25.00,5,caught,1,v England,Kolkata,5 Dec 2012
24,20,86,60,3,0,33.33,5,caught,3,v England,Kolkata,5 Dec 2012
25,103,356,295,11,0,34.91,5,lbw,2,v England,Nagpur,13 Dec 2012
26,107,266,206,15,1,51.94,5,caught,2,v Australia,Chennai,22 Feb 2013
27,DNB,-,-,-,-,-,-,-,4,v Australia,Chennai,22 Feb 2013
28,34,119,92,3,0,36.95,5,caught,2,v Australia,Hyderabad (Deccan),2 Mar 2013
29,67*,157,129,7,1,51.93,5,not out,2,v Australia,Mohali,14 Mar 2013
30,34,80,61,6,0,55.73,3,caught,4,v Australia,Mohali,14 Mar 2013
31,1,11,8,0,0,12.50,3,lbw,2,v Australia,Delhi,22 Mar 2013
32,41,76,60,4,0,68.33,3,lbw,4,v Australia,Delhi,22 Mar 2013
33,3,13,5,0,0,60.00,5,caught,2,v West Indies,Kolkata,6 Nov 2013
