,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
34,57,80,78,5,0,73.07,5,caught,2,v West Indies,Mumbai,14 Nov 2013
35,119,257,181,18,0,65.74,4,caught,1,v South Africa,Johannesburg,18 Dec 2013
36,96,254,193,9,0,49.74,4,caught,3,v South Africa,Johannesburg,18 Dec 2013
37,46,114,87,5,0,52.87,4,caught,1,v South Africa,Durban,26 Dec 2013
38,11,26,27,1,0,40.74,4,caught,3,v South Africa,Durban,26 Dec 2013
39,4,17,13,1,0,30.76,4,caught,2,v New Zealand,Auckland,6 Feb 2014
40,67,131,102,12,0,65.68,4,caught,4,v New Zealand,Auckland,6 Feb 2014
41,38,131,93,4,0,40.86,5,caught,2,v New Zealand,Wellington,14 Feb 2014
42,105*,195,135,15,1,77.77,4,not out,4,v New Zealand,Wellington,14 Feb 2014
43,1,6,8,0,0,12.50,4,caught,1,v England,Nottingham,9 Jul 2014
44,8,39,29,1,0,27.58,4,lbw,3,v England,Nottingham,9 Jul 2014
45,25,39,34,4,0,73.52,4,caught,1,v England,Lord's,17 Jul 2014
46,0,1,1,0,0,0.00,4,bowled,3,v England,Lord's,17 Jul 2014
47,39,119,75,3,0,52.00,4,caught,2,v England,Southampton,27 Jul 2014
48,28,77,56,3,0,50.00,4,caught,4,v England,Southampton,27 Jul 2014
49,0,3,2,0,0,0.00,4,caught,1,v England,Manchester,7 Aug 2014
50,7,15,11,1,0,63.63,4,caught,3,v England,Manchester,7 Aug 2014
51,6,34,18,1,0,33.33,4,lbw,1,v England,The Oval,15 Aug 2014
52,20,80,54,2,0,37.03,4,caught,3,v England,The Oval,15 Aug 2014
53,115,267,184,12,0,62.50,4,caught,2,v Australia,Adelaide,9 Dec 2014
54,141,279,175,16,1,80.57,4,caught,4,v Australia,Adelaide,9 Dec 2014
55,19,50,27,1,0,70.37,4,caught,1,v Australia,Brisbane,17 Dec 2014
56,1,14,11,0,0,9.09,4,bowled,3,v Australia,Brisbane,17 Dec 2014
57,169,380,272,18,0,62.13,4,caught,2,v Australia,Melbourne,26 Dec 2014
58,54,134,99,7,0,54.54,4,caught,4,v Australia,Melbourne,26 Dec 2014
59,147,315,230,20,0,63.91,4,caught,2,v Australia,Sydney,6 Jan 2015
60,46,123,95,3,0,48.42,4,caught,4,v Australia,Sydney,6 Jan 2015
61,14,17,22,2,0,63.63,4,bowled,1,v Bangladesh,Fatullah,10 Jun 2015
62,103,266,191,11,0,53.92,4,lbw,2,v Sri Lanka,Galle,12 Aug 2015
63,3,14,10,0,0,30.00,5,caught,4,v Sri Lanka,Galle,12 Aug 2015
64,78,178,107,8,1,72.89,4,caught,1,v Sri Lanka,Colombo (PSS),20 Aug 2015
65,10,33,19,0,0,52.63,4,lbw,3,v Sri Lanka,Colombo (PSS),20 Aug 2015
66,18,96,60,3,0,30.00,4,caught,1,v Sri Lanka,Colombo (SSC),28 Aug 2015
67,21,87,63,2,0,33.33,4,caught,3,v Sri Lanka,Colombo (SSC),28 Aug 2015
68,1,5,4,0,0,25.00,4,caught,1,v South Africa,Mohali,5 Nov 2015
69,29,92,71,4,0,40.84,4,caught,3,v South Africa,Mohali,5 Nov 2015
70,DNB,-,-,-,-,-,-,-,2,v South Africa,Bengaluru,14 Nov 2015
71,22,73,55,2,0,40.00,4,caught,1,v South Africa,Nagpur,25 Nov 2015
72,16,49,30,2,0,53.33,4,caught,3,v South Africa,Nagpur,25 Nov 2015
73,44,74,62,7,0,70.96,4,caught,1,v South Africa,Delhi,3 Dec 2015
74,88,259,165,10,0,53.33,5,lbw,3,v South Africa,Delhi,3 Dec 2015
75,200,375,283,24,0,70.67,4,bowled,1,v West Indies,North Sound,21 Jul 2016
76,44,144,90,4,1,48.88,4,caught,2,v West Indies,Kingston,30 Jul 2016
77,3,17,8,0,0,37.50,3,caught,1,v West Indies,Gros Islet,9 Aug 2016
78,4,21,17,0,0,23.52,3,lbw,3,v West Indies,Gros Islet,9 Aug 2016
79,TDNB,-,-,-,-,-,-,-,-,v West Indies,Port of Spain,18 Aug 2016
80,9,12,10,2,0,90.00,4,caught,1,v New Zealand,Kanpur,22 Sep 2016
81,18,45,40,3,0,45.00,4,caught,3,v New Zealand,Kanpur,22 Sep 2016
82,9,42,28,1,0,32.14,4,caught,1,v New Zealand,Kolkata,30 Sep 2016
83,45,82,65,7,0,69.23,4,lbw,3,v New Zealand,Kolkata,30 Sep 2016
84,211,536,366,20,0,57.65,4,lbw,1,v New Zealand,Indore,8 Oct 2016
85,17,36,28,1,0,60.71,4,lbw,3,v New Zealand,Indore,8 Oct 2016
86,40,135,95,5,0,42.10,4,hit wicket,2,v England,Rajkot,9 Nov 2016
87,49*,129,98,6,0,50.00,4,not out,4,v England,Rajkot,9 Nov 2016
88,167,401,267,18,0,62.54,4,caught,1,v England,Visakhapatnam,17 Nov 2016
89,81,172,109,8,0,74.31,4,caught,3,v England,Visakhapatnam,17 Nov 2016
90,62,161,127,9,0,48.81,4,caught,2,v England,Mohali,26 Nov 2016
91,6*,11,11,0,0,54.54,4,not out,4,v England,Mohali,26 Nov 2016
92,235,515,340,25,1,69.11,4,caught,2,v England,Mumbai,8 Dec 2016
93,15,44,29,1,0,51.72,4,caught,2,v England,Chennai,16 Dec 2016
94,204,295,246,24,0,82.92,4,lbw,1,v Bangladesh,Hyderabad (Deccan),9 Feb 2017
95,38,51,40,2,1,95.00,4,caught,3,v Bangladesh,Hyderabad (Deccan),9 Feb 2017
96,0,2,2,0,0,0.00,4,caught,2,v Australia,Pune,23 Feb 2017
97,13,33,37,1,0,35.13,4,bowled,4,v Australia,Pune,23 Feb 2017
98,12,25,17,2,0,70.58,4,lbw,1,v Australia,Bengaluru,4 Mar 2017
99,15,34,25,1,0,60.00,4,lbw,3,v Australia,Bengaluru,4 Mar 2017
100,6,38,23,0,0,26.08,4,caught,2,v Australia,Ranchi,16 Mar 2017
101,3,15,8,0,0,37.50,4,caught,1,v Sri Lanka,Galle,26 Jul 2017
102,103*,158,136,5,1,75.73,4,not out,3,v Sri Lanka,Galle,26 Jul 2017
103,13,31,29,2,0,44.82,4,caught,1,v Sri Lanka,Colombo (SSC),3 Aug 2017
104,42,119,84,3,0,50.00,4,caught,1,v Sri Lanka,Pallekele,12 Aug 2017
105,0,18,11,0,0,0.00,4,lbw,1,v Sri Lanka,Kolkata,16 Nov 2017
106,104*,208,119,12,2,87.39,4,not out,3,v Sri Lanka,Kolkata,16 Nov 2017
107,213,386,267,17,2,79.77,4,caught,2,v Sri Lanka,Nagpur,24 Nov 2017
108,243,447,287,25,0,84.66,4,lbw,1,v Sri Lanka,Delhi,2 Dec 2017
109,50,89,58,3,0,86.20,5,caught,3,v Sri Lanka,Delhi,2 Dec 2017
110,5,14,13,0,0,38.46,4,caught,2,v South Africa,Cape Town,5 Jan 2018
111,28,62,40,4,0,70.00,4,lbw,4,v South Africa,Cape Town,5 Jan 2018
112,153,379,217,15,0,70.50,4,caught,2,v South Africa,Centurion,13 Jan 2018
113,5,22,20,1,0,25.00,4,lbw,4,v South Africa,Centurion,13 Jan 2018
114,54,146,106,9,0,50.94,4,caught,1,v South Africa,Johannesburg,24 Jan 2018
115,41,131,79,6,0,51.89,5,bowled,3,v South Africa,Johannesburg,24 Jan 2018
116,149,277,225,22,1,66.22,4,caught,2,v England,Birmingham,1 Aug 2018
117,51,185,93,4,0,54.83,4,lbw,4,v England,Birmingham,1 Aug 2018
118,23,73,57,2,0,40.35,4,caught,1,v England,Lord's,9 Aug 2018
119,17,57,29,2,0,58.62,5,caught,3,v England,Lord's,9 Aug 2018
120,97,243,152,11,0,63.81,4,caught,1,v England,Nottingham,18 Aug 2018
121,103,292,197,10,0,52.28,4,lbw,3,v England,Nottingham,18 Aug 2018
122,46,100,71,6,0,64.78,4,caught,2,v England,Southampton,30 Aug 2018
123,58,170,130,4,0,44.61,4,caught,4,v England,Southampton,30 Aug 2018
124,49,112,70,6,0,70.00,4,caught,2,v England,The Oval,7 Sep 2018
125,0,3,1,0,0,0.00,4,caught,4,v England,The Oval,7 Sep 2018
126,139,341,230,10,0,60.43,4,caught,1,v West Indies,Rajkot,4 Oct 2018
127,45,86,78,5,0,57.69,4,lbw,2,v West Indies,Hyderabad (Deccan),12 Oct 2018
128,DNB,-,-,-,-,-,-,-,4,v West Indies,Hyderabad (Deccan),12 Oct 2018
129,3,17,16,0,0,18.75,4,caught,1,v Australia,Adelaide,6 Dec 2018
130,34,132,104,3,0,32.69,4,caught,3,v Australia,Adelaide,6 Dec 2018
131,123,373,257,13,1,47.85,4,caught,2,v Australia,Perth,14 Dec 2018
132,17,64,40,2,0,42.50,4,caught,4,v Australia,Perth,14 Dec 2018
133,82,305,204,9,0,40.19,4,caught,1,v Australia,Melbourne,26 Dec 2018
134,0,6,4,0,0,0.00,4,caught,3,v Australia,Melbourne,26 Dec 2018
135,23,-,59,4,0,38.98,4,caught,1,v Australia,Sydney,3 Jan 2019
136,9,-,12,2,0,75.00,4,caught,1,v West Indies,North Sound,22 Aug 2019
137,51,-,113,2,0,45.13,4,caught,3,v West Indies,North Sound,22 Aug 2019
138,76,211,163,10,0,46.62,4,caught,1,v West Indies,Kingston,30 Aug 2019
139,0,3,1,0,0,0.00,4,caught,3,v West Indies,Kingston,30 Aug 2019
140,20,-,40,4,0,50.00,4,caught,1,v South Africa,Visakhapatnam,2 Oct 2019
141,31*,-,25,3,1,124.00,5,not out,3,v South Africa,Visakhapatnam,2 Oct 2019
142,254*,-,336,33,2,75.59,4,not out,1,v South Africa,Pune,10 Oct 2019
143,12,-,22,2,0,54.54,4,lbw,1,v South Africa,Ranchi,19 Oct 2019
144,0,-,2,0,0,0.00,4,lbw,2,v Bangladesh,Indore,14 Nov 2019
145,136,-,194,18,0,70.10,4,caught,2,v Bangladesh,Kolkata,22 Nov 2019
