,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
0,131,391,299,10,0,43.81,6,caught,2,v India,Ahmedabad,4 Nov 2010
1,DNB,-,-,-,-,-,-,-,4,v India,Ahmedabad,4 Nov 2010
2,4,18,12,0,0,33.33,7,lbw,1,v India,Hyderabad (Deccan),12 Nov 2010
3,69,157,146,9,0,47.26,6,lbw,3,v India,Hyderabad (Deccan),12 Nov 2010
4,0,5,3,0,0,0.00,5,caught,1,v India,Nagpur,20 Nov 2010
5,8,35,25,0,0,32.00,7,bowled,3,v India,Nagpur,20 Nov 2010
6,50,201,125,5,0,40.00,6,caught,1,v Pakistan,Hamilton,7 Jan 2011
7,1,14,11,0,0,9.09,6,caught,3,v Pakistan,Hamilton,7 Jan 2011
8,21,53,34,2,0,61.76,3,caught,1,v Pakistan,Wellington,15 Jan 2011
9,15,73,43,2,0,34.88,3,caught,3,v Pakistan,Wellington,15 Jan 2011
10,49,101,92,6,0,53.26,3,run out,1,v Zimbabwe,Bulawayo,1 Nov 2011
11,68,198,140,8,1,48.57,3,lbw,3,v Zimbabwe,Bulawayo,1 Nov 2011
12,19,45,33,3,0,57.57,3,caught,1,v Australia,Brisbane,1 Dec 2011
13,0,2,2,0,0,0.00,4,caught,3,v Australia,Brisbane,1 Dec 2011
14,19,49,41,2,0,46.34,5,caught,1,v Australia,Hobart,9 Dec 2011
15,34,93,48,4,0,70.83,5,caught,3,v Australia,Hobart,9 Dec 2011
16,4,18,8,0,0,50.00,3,run out,1,v Zimbabwe,Napier,26 Jan 2012
17,11,45,45,0,0,24.44,5,caught,2,v South Africa,Dunedin,7 Mar 2012
18,DNB,-,-,-,-,-,-,-,4,v South Africa,Dunedin,7 Mar 2012
19,0,13,8,0,0,0.00,5,caught,1,v South Africa,Hamilton,15 Mar 2012
20,77,253,193,10,0,39.89,5,caught,3,v South Africa,Hamilton,15 Mar 2012
21,39,134,92,5,0,42.39,5,caught,2,v South Africa,Wellington,23 Mar 2012
22,102*,327,228,9,0,44.73,4,not out,4,v South Africa,Wellington,23 Mar 2012
23,19,90,69,2,0,27.53,6,bowled,1,v West Indies,North Sound,25 Jul 2012
24,0,8,4,0,0,0.00,6,bowled,3,v West Indies,North Sound,25 Jul 2012
25,22,77,64,1,0,34.37,5,caught,1,v West Indies,Kingston,2 Aug 2012
26,8,55,43,0,0,18.60,6,caught,3,v West Indies,Kingston,2 Aug 2012
27,32,114,92,3,0,34.78,3,caught,2,v India,Hyderabad (Deccan),23 Aug 2012
28,52,197,163,4,0,31.90,3,caught,3,v India,Hyderabad (Deccan),23 Aug 2012
29,17,74,44,2,0,38.63,3,lbw,1,v India,Bengaluru,31 Aug 2012
30,13,57,37,2,0,35.13,3,caught,3,v India,Bengaluru,31 Aug 2012
31,0,3,2,0,0,0.00,3,caught,1,v Sri Lanka,Galle,17 Nov 2012
32,10,57,35,1,0,28.57,3,caught,3,v Sri Lanka,Galle,17 Nov 2012
33,135,421,305,12,0,44.26,3,lbw,1,v Sri Lanka,Colombo (PSS),25 Nov 2012
34,18,53,42,0,0,42.85,3,caught,3,v Sri Lanka,Colombo (PSS),25 Nov 2012
35,13,28,19,2,0,68.42,3,lbw,1,v South Africa,Cape Town,2 Jan 2013
36,15,78,46,2,0,32.60,3,caught,3,v South Africa,Cape Town,2 Jan 2013
37,4,8,5,1,0,80.00,3,caught,2,v South Africa,Port Elizabeth,11 Jan 2013
38,11,42,32,2,0,34.37,3,bowled,3,v South Africa,Port Elizabeth,11 Jan 2013
39,24,97,69,3,0,34.78,3,bowled,2,v England,Dunedin,6 Mar 2013
40,42,129,87,7,0,48.27,3,caught,2,v England,Wellington,14 Mar 2013
41,55*,233,174,7,0,31.60,3,not out,3,v England,Wellington,14 Mar 2013
42,91,266,199,15,0,45.72,3,caught,1,v England,Auckland,22 Mar 2013
43,1,14,11,0,0,9.09,3,bowled,3,v England,Auckland,22 Mar 2013
44,60,276,167,6,0,35.92,3,caught,2,v England,Lord's,16 May 2013
45,6,39,24,0,0,25.00,3,caught,4,v England,Lord's,16 May 2013
46,13,71,50,1,0,26.00,3,lbw,2,v England,Leeds,24 May 2013
47,3,34,23,0,0,13.04,3,lbw,4,v England,Leeds,24 May 2013
48,114,275,210,12,0,54.28,3,lbw,1,v Bangladesh,Chattogram,9 Oct 2013
49,74,228,150,2,1,49.33,3,caught,3,v Bangladesh,Chattogram,9 Oct 2013
50,62,243,151,6,0,41.05,3,caught,2,v Bangladesh,Dhaka,21 Oct 2013
51,45,123,83,6,1,54.21,3,caught,1,v West Indies,Wellington,11 Dec 2013
52,58,187,148,5,0,39.18,3,lbw,2,v West Indies,Hamilton,19 Dec 2013
53,56,103,83,9,0,67.46,3,bowled,4,v West Indies,Hamilton,19 Dec 2013
54,113,250,172,10,2,65.69,3,caught,1,v India,Auckland,6 Feb 2014
55,3,22,17,0,0,17.64,3,caught,3,v India,Auckland,6 Feb 2014
56,47,167,100,6,0,47.00,3,caught,1,v India,Wellington,14 Feb 2014
57,7,40,22,0,0,31.81,3,caught,3,v India,Wellington,14 Feb 2014
58,113,370,298,12,0,37.91,3,bowled,1,v West Indies,Kingston,8 Jun 2014
59,2,35,30,0,0,6.66,3,bowled,3,v West Indies,Kingston,8 Jun 2014
60,42,153,104,5,0,40.38,3,caught,1,v West Indies,Port of Spain,16 Jun 2014
61,52,215,178,5,0,29.21,3,caught,3,v West Indies,Port of Spain,16 Jun 2014
62,43,110,68,7,0,63.23,3,caught,1,v West Indies,Bridgetown,26 Jun 2014
63,161*,381,271,22,0,59.40,3,not out,3,v West Indies,Bridgetown,26 Jun 2014
64,54,160,98,7,0,55.10,3,bowled,1,v Sri Lanka,Christchurch,26 Dec 2014
65,31*,113,75,0,0,41.33,3,not out,4,v Sri Lanka,Christchurch,26 Dec 2014
66,69,187,115,9,0,60.00,3,bowled,1,v Sri Lanka,Wellington,3 Jan 2015
67,242*,623,438,18,0,55.25,3,not out,3,v Sri Lanka,Wellington,3 Jan 2015
68,132,372,262,15,0,50.38,3,caught,2,v England,Lord's,21 May 2015
69,27,101,70,3,0,38.57,3,caught,4,v England,Lord's,21 May 2015
70,0,1,2,0,0,0.00,3,caught,1,v England,Leeds,29 May 2015
71,6,16,20,1,0,30.00,3,caught,3,v England,Leeds,29 May 2015
72,140,292,178,24,0,78.65,3,caught,2,v Australia,Brisbane,5 Nov 2015
73,59,127,74,5,0,79.72,3,lbw,4,v Australia,Brisbane,5 Nov 2015
74,166,384,250,24,0,66.40,3,caught,2,v Australia,Perth,13 Nov 2015
75,32*,73,58,3,0,55.17,3,not out,4,v Australia,Perth,13 Nov 2015
76,22,85,58,2,0,37.93,3,lbw,1,v Australia,Adelaide,27 Nov 2015
77,9,34,24,1,0,37.50,3,caught,3,v Australia,Adelaide,27 Nov 2015
78,88,171,123,12,0,71.54,3,caught,1,v Sri Lanka,Dunedin,10 Dec 2015
79,71,145,115,7,0,61.73,3,bowled,3,v Sri Lanka,Dunedin,10 Dec 2015
80,1,7,4,0,0,25.00,3,caught,2,v Sri Lanka,Hamilton,18 Dec 2015
81,108*,245,164,12,1,65.85,3,not out,4,v Sri Lanka,Hamilton,18 Dec 2015
82,16,24,18,4,0,88.88,3,caught,1,v Australia,Wellington,12 Feb 2016
83,22,72,44,3,0,50.00,3,caught,3,v Australia,Wellington,12 Feb 2016
84,7,98,69,0,0,10.14,3,caught,1,v Australia,Christchurch,20 Feb 2016
85,97,340,210,8,0,46.19,3,bowled,3,v Australia,Christchurch,20 Feb 2016
86,91,242,179,9,0,50.83,3,caught,2,v Zimbabwe,Bulawayo,28 Jul 2016
87,113,202,151,10,0,74.83,3,caught,1,v Zimbabwe,Bulawayo,6 Aug 2016
88,68*,130,103,6,0,66.01,3,not out,3,v Zimbabwe,Bulawayo,6 Aug 2016
89,2*,29,16,0,0,12.50,3,not out,2,v South Africa,Durban,19 Aug 2016
90,77,284,133,8,1,57.89,3,caught,2,v South Africa,Centurion,27 Aug 2016
91,5,27,11,0,0,45.45,3,caught,4,v South Africa,Centurion,27 Aug 2016
92,75,197,137,7,0,54.74,3,bowled,2,v India,Kanpur,22 Sep 2016
93,25,61,59,3,0,42.37,3,lbw,4,v India,Kanpur,22 Sep 2016
94,8,33,25,1,0,32.00,3,bowled,2,v India,Indore,8 Oct 2016
95,27,40,33,5,0,81.81,3,lbw,4,v India,Indore,8 Oct 2016
96,4,21,15,0,0,26.66,3,caught,2,v Pakistan,Christchurch,17 Nov 2016
97,61,85,77,4,1,79.22,3,caught,4,v Pakistan,Christchurch,17 Nov 2016
98,13,63,42,2,0,30.95,3,caught,1,v Pakistan,Hamilton,25 Nov 2016
99,42,138,88,7,0,47.72,3,caught,3,v Pakistan,Hamilton,25 Nov 2016
100,53,85,55,8,0,96.36,3,caught,2,v Bangladesh,Wellington,12 Jan 2017
101,104*,144,90,15,0,115.55,3,not out,4,v Bangladesh,Wellington,12 Jan 2017
102,2,4,2,0,0,100.00,3,caught,2,v Bangladesh,Christchurch,20 Jan 2017
103,DNB,-,-,-,-,-,-,-,4,v Bangladesh,Christchurch,20 Jan 2017
104,130,380,241,18,0,53.94,3,caught,2,v South Africa,Dunedin,8 Mar 2017
105,2,15,10,0,0,20.00,3,lbw,1,v South Africa,Wellington,16 Mar 2017
106,1,12,6,0,0,16.66,3,caught,3,v South Africa,Wellington,16 Mar 2017
107,176,453,285,16,3,61.75,3,caught,2,v South Africa,Hamilton,25 Mar 2017
108,1,16,10,0,0,10.00,3,caught,2,v West Indies,Wellington,1 Dec 2017
109,43,126,96,5,0,44.79,3,caught,1,v West Indies,Hamilton,9 Dec 2017
110,54,98,64,8,0,84.37,3,bowled,3,v West Indies,Hamilton,9 Dec 2017
111,102,319,220,11,1,46.36,3,lbw,2,v England,Auckland,22 Mar 2018
112,22,83,48,1,0,45.83,3,caught,2,v England,Christchurch,30 Mar 2018
113,0,1,1,0,0,0.00,3,caught,4,v England,Christchurch,30 Mar 2018
