,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
114,91,169,93,10,0,97.84,3,caught,2,v Sri Lanka,Wellington,15 Dec 2018
115,2,31,18,0,0,11.11,3,caught,1,v Sri Lanka,Christchurch,26 Dec 2018
116,48,92,75,5,0,64.00,3,caught,3,v Sri Lanka,Christchurch,26 Dec 2018
117,200*,382,257,19,0,77.82,3,not out,2,v Bangladesh,Hamilton,28 Feb 2019
118,74,162,105,11,1,70.47,3,caught,2,v Bangladesh,Wellington,8 Mar 2019
119,0,3,3,0,0,0.00,3,caught,1,v Sri Lanka,Galle,14 Aug 2019
120,4,29,25,0,0,16.00,3,caught,3,v Sri Lanka,Galle,14 Aug 2019
121,20,43,28,2,0,71.42,3,caught,2,v Sri Lanka,Colombo (PSS),22 Aug 2019
122,51,141,85,7,0,60.00,3,caught,2,v England,Mount Maunganui,21 Nov 2019
123,4,30,20,0,0,20.00,3,caught,1,v England,Hamilton,29 Nov 2019
124,104*,310,234,11,0,44.44,3,not out,3,v England,Hamilton,29 Nov 2019
125,34,102,70,7,0,48.57,3,caught,2,v Australia,Perth,12 Dec 2019
126,14,-,8,3,0,175.00,3,caught,4,v Australia,Perth,12 Dec 2019
127,9,36,14,0,0,64.28,3,caught,2,v Australia,Melbourne,26 Dec 2019
128,0,15,9,0,0,0.00,3,lbw,4,v Australia,Melbourne,26 Dec 2019
